id,date,title,source,judge,type,outlet,article_hint,search_query
2187,2020.03.31,"""정부가 확진자 수 줄이기 위해 검사 대상을 축소·조작한다"""," GZSS TV 방송, SNS 등",대체로 사실 아님,SKIP,,,
2186,2020.03.31,정부가 한미 환율스와프를 통화스와프로 거짓홍보했다," 문갑식의 진짜 TV('미국 FRB는 한국과 환율 스왑, 우리는 통화 스왑? '원화'가 위험하다!')",전혀 사실 아님,SKIP,,,
2185,2020.03.30,“진단키트 美 FDA 사전 승인” 외교부 보도자료는 사실?, 인터넷 커뮤니티,대체로 사실,SKIP,,,
2184,2020.03.30,"외국에서 온 입국자 1,442명의 2주간 호텔 격리비와 확진시 400만원 진료비를 한국 정부가 부담한다", 인터넷 커뮤니티,대체로 사실 아님,SKIP,,,
2183,2020.03.30,국회가 ‘제1호’ 청원을 법안에 반영했다, 법제사법위원회 보도자료 ,대체로 사실 아님,TYPE_D,,,국회가 ‘제1호’ 청원을 법안에 반영했다
2182,2020.03.30,대진연의 피켓시위는 선거법 위반이다, 오세훈 후보 페이스북,대체로 사실,SKIP,,,
2181,2020.03.27,"한국 1인당 GDP, 사상 첫 일본 추월?", 패이스북 게시물출처: 블로그 게시물,절반의 사실,SKIP,,,
2180,2020.03.27,"""정부가 중국으로 향하는 알코올 수출을 막지 않아 알코올 대란을 불렀다"""," 가로세로연구소 유튜브 3월 5일 방송출처: 연합뉴스 <[OK!제보] ""전쟁 난 것도 아닌데…알코올 부족해 주사도 못 놓을 판"">기사",대체로 사실 아님,SKIP,,,
2179,2020.03.27,민식이법때문에 스쿨존서 사고내면 무조건 형사처벌 받는다, 인터넷 커뮤니티 및 SNS,대체로 사실 아님,SKIP,,,
2178,2020.03.30,코로나 이어 중국발 한타바이러스 전파 가능성있다, 인터넷 커뮤니티 및 SNS,전혀 사실 아님,SKIP,,,
